PROVINCIA,CAT_OCUP,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Entre Ríos,4.0,0.16478389309782346,1.8911534321684589,1147.6567257976976,3.0,3.0,491.3507685571222,4127.954323228423,4619.305091785545
Formosa,1.0,5.8802349741514615,4.188459307054393,71.22945469808887,49.0,19.0,6289.1327221786005,2360.5680177844515,8649.700739963053
Formosa,2.0,26.682509808700615,21.09462083818515,79.05785846017615,234.0,98.0,28537.948957042496,11888.688333211645,40426.63729025414
Formosa,3.0,67.43725521714794,74.44451174153144,110.39077955029477,579.0,351.0,72126.68377104723,41956.07994105697,114082.7637121042
Formosa,4.0,,0.27240811322901787,,,1.0,,153.5261137168962,
Jujuy,1.0,5.547130657017293,3.5938612684572337,64.78775227532972,83.0,49.0,9685.072680200303,4762.663846301157,14447.73652650146
Jujuy,2.0,20.64930944497135,26.013680561835372,125.97845284443827,299.0,317.0,36052.884840111066,34473.9005393677,70526.78537947877
Jujuy,3.0,72.81643454137274,69.63811641486818,95.63516375592557,1060.0,866.0,127134.64031248332,92285.96058633602,219420.60089881934
Jujuy,4.0,0.9871253566386273,0.7543417548392124,76.41803037133067,9.0,9.0,1723.4821774784718,999.6702530118379,2723.1524304903096
La Pampa,1.0,6.776342191446193,2.92288456494765,43.13366241505956,36.0,15.0,4984.95460863101,1597.3040365386933,6582.258645169703
La Pampa,2.0,29.20927052068263,18.264383670510657,62.52940708525374,189.0,90.0,21487.53465853997,9981.158377467631,31468.6930360076
La Pampa,3.0,63.68030050467053,78.23806646871273,122.86070550652393,408.0,428.0,46845.83489311906,42755.70129595443,89601.5361890735
La Pampa,4.0,0.3340867832006496,0.5746652958289568,172.010784240997,3.0,4.0,245.7679087843348,314.0442861460508,559.8121949303857
La Rioja,1.0,2.3697815439572874,1.2872357352914843,54.318750965624254,27.0,12.0,2012.0860834406562,815.9624306533873,2828.0485140940436
La Rioja,2.0,21.722088135693415,12.710649438338423,58.514859892555506,234.0,109.0,18443.350338577824,8057.119707402473,26500.4700459803
La Rioja,3.0,75.9081303203493,85.75848279754534,112.97667645827312,879.0,765.0,64450.5368129947,54361.21617365319,118811.75298664789
La Rioja,4.0,,0.2436320288247551,,,2.0,,154.43525764132693,
Mendoza,1.0,5.949927537465274,2.907644569753152,48.86857111190696,86.0,30.0,25287.333681906137,8579.253762594499,33866.587444500634
Mendoza,2.0,22.360053677897827,19.912672670628258,89.0546729335953,321.0,213.0,95030.76044842252,58754.04226153523,153784.80270995776
Mendoza,3.0,70.43852822666366,75.28345339036827,106.87823168041524,956.0,770.0,299365.4218667708,222130.26223327455,521495.68410004536
Mendoza,4.0,1.2514905579732247,1.8962293692503411,151.5176728397587,17.0,21.0,5318.864665149468,5594.986787626623,10913.85145277609
Misiones,1.0,4.079369502730319,1.888415289941099,46.29184212602423,43.0,14.0,9626.326288926119,3113.021573377222,12739.34786230334
Misiones,2.0,29.92519931620491,23.32156965313759,77.93287993409834,277.0,186.0,70616.23927083152,38445.22433277974,109061.46360361125
Misiones,3.0,65.68425225555305,73.64009808442611,112.11225758941401,675.0,557.0,154998.96340179243,121394.491573717,276393.45497550943
Misiones,4.0,0.3111789255117348,1.1499169724952085,369.53562025582744,3.0,9.0,734.3070710335268,1895.619232717534,2629.926303751061
Neuquén,1.0,3.710415635829011,1.838614861272836,49.55280059512896,30.0,12.0,5206.997079353255,1983.1166292681423,7190.113708621397
Neuquén,2.0,21.385037362338515,13.473939547749925,63.0063876880527,174.0,102.0,30010.607440391985,14532.893289244143,44543.50072963613
Neuquén,3.0,74.55429725885745,84.55607624321418,113.41542922687596,642.0,587.0,104625.47762344404,91201.5694181316,195827.04704157566
Neuquén,4.0,0.3502497429750209,0.1313693477630518,37.50733595039949,1.0,2.0,491.5215888765747,141.69402391573428,633.215612792309
Río Negro,1.0,5.159921066527041,1.8719340304447305,36.278346244251026,58.0,17.0,7956.130097865927,2110.512454291196,10066.642552157124
Río Negro,2.0,22.52383086046135,18.9118853011161,83.96389325722691,263.0,170.0,34729.703481447395,21322.20944380689,56051.912925254284
Río Negro,3.0,72.18691579393047,79.21618066843918,109.73758858817976,791.0,697.0,111305.67425651794,89312.30116181093,200617.9754183289
Río Negro,4.0,0.12933227908113243,,,2.0,,199.41863934666083,,
Salta,1.0,3.3138378577368686,1.8853067183248924,56.89194219093241,59.0,29.0,10151.547202395459,4424.522938147074,14576.070140542532
Salta,2.0,21.412420620349923,26.291818478582286,122.78769852669103,363.0,378.0,65594.39778791013,61702.82682037292,127297.22460828305
Salta,3.0,73.04555965833796,69.50085768021778,95.14727247665688,1170.0,916.0,223766.3635430323,163107.75113571004,386874.11467874236
Salta,4.0,2.2281818635752293,2.322017122875051,104.21129266123987,40.0,28.0,6825.769495871785,5449.414635332806,12275.18413120459
San Juan,1.0,3.045081253146784,1.3147586415408756,43.1764715697555,39.0,11.0,5351.9240693639895,1491.2500302890373,6843.174099653027
San Juan,2.0,24.820448024803817,23.347709399676248,94.06643013189844,320.0,216.0,43623.51679748173,26481.873744249795,70105.39054173153
San Juan,3.0,72.04441047591341,74.97639099125355,104.06968492902082,935.0,609.0,126622.63579690232,85041.11842583652,211663.75422273885
San Juan,4.0,0.09006024613598883,0.36114096752933245,400.99931215379775,1.0,3.0,158.28661336703252,409.62003348048404,567.9066468475165
San Luis,1.0,3.4672779152655835,1.4676774031317166,42.329384577737166,50.0,15.0,3789.989253908461,1141.9792970946517,4931.968551003112
San Luis,2.0,25.315393648033048,19.6694292452225,77.69750499910072,268.0,153.0,27671.583365753548,15304.50829029785,42976.0916560514
San Luis,3.0,70.93027207091438,78.86289335164578,111.18368934606728,794.0,622.0,77531.99353936926,61362.11631002437,138894.10984939363
San Luis,4.0,0.2870563657869967,,,3.0,,313.77367727253585,,
Santa Cruz,1.0,6.70952950479628,1.888195130583127,28.14199012364963,31.0,9.0,6107.093111578735,1340.3532445231835,7447.446356101918
Santa Cruz,2.0,18.516593362009836,7.605291781598461,41.072845490046255,107.0,43.0,16854.022281323632,5398.688594151219,22252.71087547485
Santa Cruz,3.0,74.77387713319388,89.82154689530026,120.12423367495326,460.0,460.0,68060.06734745379,63760.67804603776,131820.74539349155
Santa Cruz,4.0,,0.684966192518135,,,2.0,,486.22975648011544,
Santa Fe,1.0,4.693034515927225,3.638842657776388,77.53709557061386,81.0,43.0,37199.30366443181,22124.8479345293,59324.151598961114
Santa Fe,2.0,27.29598296397792,25.03836063643638,91.72910413037373,506.0,375.0,216361.40873248113,152237.94313480356,368599.3518672847
Santa Fe,3.0,67.95062955424912,70.83453217032901,104.24411463881655,1335.0,1105.0,538610.1667054147,430687.2816918483,969297.448397263
Santa Fe,4.0,0.06035296584573176,0.48826453545821724,809.0149814779119,1.0,4.0,478.3873410530168,2968.7402327634504,3447.1275738164672
Santiago del Estero,1.0,7.9635338367537045,3.5321891091272684,44.354543868770044,90.0,24.0,13591.05987248249,3896.018847060832,17487.078719543322
