PROVINCIA,Educacion,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Río Negro,Secundario completo,36.94495418108358,35.187730356710475,95.24367031080841,392,292,56571.564059717435,39494.372125950606,96065.93618566805
Salta,Educación superior,21.937895817673038,37.112774629010495,169.171988678662,397,534,66849.53406147295,86740.36109557706,153589.89515705
Salta,Hasta secundario incompleto,49.145085697326245,32.59671658919796,66.3275200901143,733,408,149755.75176315583,76185.38348967965,225941.13525283546
Salta,Secundario completo,28.917018485000717,30.29050878179154,104.74976456339458,495,405,88116.4368832499,70795.29072578528,158911.72760903518
San Juan,Educación superior,20.338104611585912,40.703555604501695,200.13445884880684,252,332,35643.99159618381,46167.54483313091,81811.53642931473
San Juan,Hasta secundario incompleto,50.00722332603884,31.478620219007848,62.94814653829596,659,279,87641.25674554805,35704.266830326145,123345.52357587419
San Juan,Secundario completo,29.65467206237524,27.817824176490465,93.80587354997158,380,228,51971.94635220568,31552.050570398787,83523.99692260448
San Luis,Educación superior,21.157909339006792,37.17701134810691,175.71212142197453,233,305,23006.41918390355,28707.753802132695,51714.17298603624
San Luis,Hasta secundario incompleto,41.44163995772824,23.48351153602608,56.66646291020333,475,179,45062.28499515156,18133.756403205567,63196.04139835713
San Luis,Secundario completo,37.400450703264966,39.33947711586701,105.18450012270246,399,302,40668.02786416637,30377.590419313008,71045.61828347937
Santa Cruz,Educación superior,18.246099001555383,38.74574008580704,212.35081582372305,124,215,16607.815115192025,27482.29385491836,44090.108970110385
Santa Cruz,Hasta secundario incompleto,49.62511562823242,29.22115096452992,58.88379421307705,283,138,45169.367181086476,20726.51743927619,65895.88462036266
Santa Cruz,Secundario completo,32.1287853702122,32.03310894966304,99.70220965577533,191,160,29244.00044407766,22721.03491355772,51965.03535763538
Santa Fe,Educación superior,29.83511444346124,49.06897728709288,164.46719981611128,566,756,235210.25976321902,298235.90469950764,533446.1644627267
Santa Fe,Hasta secundario incompleto,40.23023190778268,23.770961143733274,59.08730826663392,733,354,317161.9574409895,144477.31528618842,461639.27272717794
Santa Fe,Secundario completo,29.934653648756075,27.16006156917386,90.73117026126837,614,416,235994.99422027598,165075.8989001295,401070.8931204055
Santiago del Estero,Educación superior,21.81599694240224,39.65448822532664,181.76793996635084,240,315,36950.767134820315,43582.597344003625,80533.36447882393
Santiago del Estero,Hasta secundario incompleto,48.52532514244179,33.248628316477735,68.51809486877076,581,286,82189.59666219905,36542.1833695989,118731.78003179794
