PROVINCIA,INTENSI,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
La Rioja,4.0,0.03571328035882605,0.06921910914273204,1.93818961594284,40,60,3032.2708262810065,4387.711667356426,7419.9824936374325
Mendoza,1.0,0.12371147820151368,0.21384850338955216,1.7286068075365992,176,230,52577.67275088923,63097.828270178616,115675.50102106784
Mendoza,2.0,0.5097898489365603,0.4998655402448556,0.9805325494173586,703,525,216661.89943548638,147489.59902279542,364151.4984582818
Mendoza,3.0,0.33166419770371786,0.23011724194655908,0.6938259949062314,461,220,140958.07360451488,67898.05859852707,208856.13220304195
Mendoza,4.0,0.034834475158208124,0.056168714419033296,1.6124461230987757,40,59,14804.734871358423,16573.05915352981,31377.794024888237
Misiones,1.0,0.06027699202877942,0.1321623369132619,2.192583479450345,66,98,14223.9135875206,21786.744059447097,36010.657646967695
Misiones,2.0,0.4665157812033081,0.5684978929337424,1.2186037768484201,480,445,110086.45149184448,93715.94344469822,203802.3949365427
Misiones,3.0,0.44775744120219596,0.2566084096313369,0.5730969181491705,426,193,105659.93652749858,42301.47464635742,147961.411173856
Misiones,4.0,0.025449785565716528,0.04273136052165877,1.6790459947616334,26,30,6005.534425719936,7044.194562088754,13049.728987808689
Neuquén,1.0,0.05352570913244328,0.11333225208993922,2.117342374848532,49,82,7511.509180579246,12223.93435873661,19735.443539315856
Neuquén,2.0,0.5202160113560955,0.6950829230302994,1.3361428865258531,430,471,73004.30780873353,74971.13900338189,147975.44681211544
Neuquén,3.0,0.4069949054591684,0.17168535579484703,0.42183662127454147,353,130,57115.468778582,18517.857722681347,75633.32650126335
Neuquén,4.0,0.019263374052292778,0.0198994690849143,1.0330209562922241,15,20,2703.3179641710663,2146.342275759777,4849.660239930843
Río Negro,1.0,0.0729502407436834,0.14795081471918559,2.0281059145373184,72,105,11248.265206855816,16680.718017246905,27928.98322410272
Río Negro,2.0,0.5278778128300926,0.6080956015872698,1.1519627967068902,612,564,81393.96902596255,68559.75262358598,149953.72164954853
Río Negro,3.0,0.3923563897541585,0.22893594930434225,0.5834897946935139,421,199,60497.79524464971,25811.388883560227,86309.18412820993
Río Negro,4.0,0.006815556672065524,0.015017634389202242,2.203434746680933,9,16,1050.8969977098636,1693.1635355158894,2744.060533225753
Salta,1.0,0.10708759270011822,0.18641659541758746,1.7407861239314388,174,237,32805.00732852904,43749.088382247035,76554.09571077608
Salta,2.0,0.46953411709545145,0.5514910770407241,1.17454953103783,785,745,143836.1790001625,129426.41623417915,273262.5952343416
Salta,3.0,0.3998612744742247,0.22947411007456633,0.5738843061916924,630,322,122492.73430074428,53854.02034942718,176346.75465017147
Salta,4.0,0.02351701573020558,0.03261821746712211,1.3870049602095909,43,47,7204.157399773868,7654.990563709476,14859.147963483345
San Juan,1.0,0.13792399628310986,0.1318663687073274,0.9560799589699513,167,112,24241.01999536573,14956.79283753874,39197.81283290447
San Juan,2.0,0.5421150767719101,0.6836677166552622,1.2611117933230052,704,584,95280.17437112494,77544.23290764124,172824.4072787662
San Juan,3.0,0.30493460461272237,0.13843805043227114,0.45399258837183243,404,111,53594.19714407708,15702.178360153508,69296.37550423059
San Juan,4.0,0.015026322332257787,0.046027864205139345,3.0631489986294875,20,32,2640.9717665473268,5220.658128522349,7861.629895069676
San Luis,1.0,0.10662037024129298,0.10653614382163733,0.9992100344477792,96,76,11654.389043437544,8289.428615376015,19943.81765881356
San Luis,2.0,0.4527298622783014,0.6517307655762095,1.439557713945493,496,529,49486.69691009731,50710.26098647954,100196.95789657685
San Luis,3.0,0.41143523328430237,0.19596147257300361,0.4762875337844339,493,158,44972.89086523617,15247.488598587359,60220.37946382353
San Luis,4.0,0.02921453419610318,0.04577161802914956,1.566741325461724,30,27,3193.3630175327685,3561.425696973963,6754.788714506732
