PROVINCIA,Agrupamiento,Varon,Mujer,Ratio,N_v,N_m,N_pob_v,N_pob_m,N_pob_tot
Formosa,Adm publica,11.865951923689016,12.879797214100941,108.54415471200333,113.0,65.0,12691.082388903953,7258.907190037341,19949.989578941295
Formosa,Comercio,18.826186019388736,26.264336033346304,139.50959586980153,162.0,124.0,20135.314838408234,14802.281006822703,34937.595845230935
Formosa,Enseñanza,6.254701536945925,23.027747064894125,368.1670009171728,58.0,108.0,6689.638811439473,12978.176283452409,19667.81509489188
Formosa,Otras,3.5362368352161466,2.1749212698582796,61.50383504291904,28.0,9.0,3782.138450503069,1225.7608859132524,5007.899336416322
Formosa,Produccion,43.6538196701331,5.755228509605453,13.18379136830274,363.0,25.0,46689.40390007726,3243.581316866182,49932.985216943445
Formosa,Servicio domestico,0.3463209655964393,17.35406195095218,5010.976427911242,4.0,82.0,370.4033132491202,9780.551896749215,10150.955209998336
Formosa,Servicios,12.48362476029662,11.115329664699987,89.03928048247326,111.0,48.0,13351.706745819267,6264.473351675997,19616.180097495264
Jujuy,Adm publica,14.721455284757342,12.687729721610811,86.18529538141343,204.0,174.0,25703.083847651516,16814.05795129555,42517.141798947065
Jujuy,Comercio,19.60488372776796,33.06311579197859,168.64734446319954,282.0,371.0,34229.35847925477,43815.9668573192,78045.32533657397
Jujuy,Enseñanza,7.257541060601466,22.455513926671312,309.40939553995884,110.0,292.0,12671.382196946162,29758.54000468417,42429.92220163033
Jujuy,Otras,2.3624964775691213,1.4543376373125594,61.55935685495678,37.0,19.0,4124.826240216467,1927.3201629502455,6052.146403166713
Jujuy,Produccion,46.185986819361915,8.580245062944611,18.57759388470538,671.0,109.0,80638.92250066734,11370.729113100315,92009.65161376765
Jujuy,Servicio domestico,0.2339921693175525,10.853499402899015,4638.402829698822,3.0,133.0,408.54115515944784,14383.295667455855,14791.836822615303
Jujuy,Servicios,7.766737173354911,9.801562524832578,126.19923020516872,117.0,127.0,13560.418649378367,12989.245824260704,26549.664473639074
La Pampa,Adm publica,10.491216435553007,10.18082995203119,97.04146334766321,69.0,63.0,7717.768117816077,5563.641127915946,13281.409245732022
La Pampa,Comercio,13.591536841728391,19.14374006492318,140.8504445659784,101.0,104.0,9998.490675851237,10461.71088891325,20460.201564764488
La Pampa,Enseñanza,5.301156702784215,27.89482225060334,526.2025594518407,37.0,133.0,3899.7477975620873,15244.020483653996,19143.768281216082
La Pampa,Otras,4.149796498035242,1.1080901074459268,26.70227583378033,24.0,5.0,3052.7601164938696,605.5513867013335,3658.311503195203
La Pampa,Produccion,47.66991521984711,6.338944167657093,13.29757801838487,294.0,40.0,35067.94032157803,3464.1193934983294,38532.059715076364
La Pampa,Servicio domestico,0.2648763204257063,17.501027579647552,6607.245053661306,2.0,102.0,194.85386022714303,9563.997953181812,9758.851813408955
La Pampa,Servicios,13.768117932918228,11.47472581302275,83.34273332731847,79.0,63.0,10128.390952350706,6270.73202928363,16399.122981634337
La Rioja,Adm publica,23.845193013059298,23.774855147047184,99.70502286991935,281.0,201.0,20245.993197505362,15070.579585660724,35316.572783166084
La Rioja,Comercio,19.28863034625068,16.383940396538602,84.94092168510714,217.0,145.0,16377.199319188234,10385.572326123021,26762.771645311255
La Rioja,Enseñanza,11.57017493987797,31.112898868756062,268.90603668853606,130.0,291.0,9823.769637696993,19722.07256961721,29545.8422073142
La Rioja,Otras,2.617347899385956,1.3750397426142746,52.53561221024023,30.0,14.0,2222.2847069198197,871.6202789184437,3093.904985838263
La Rioja,Produccion,31.62917888067243,5.395089137327293,17.05731646616997,358.0,49.0,26855.06215487818,3419.878679089362,30274.94083396754
La Rioja,Servicio domestico,,13.933366000037244,,,118.0,,8832.184251006061,
La Rioja,Servicios,9.156334299638322,6.344543582640348,69.29130561441995,100.0,57.0,7774.274749759245,4021.725827791208,11796.000577550454
Mendoza,Adm publica,9.661478657103151,6.199011021203018,64.16213543716192,118.0,66.0,41061.51429986347,18290.711726342735,59352.226026206205
Mendoza,Comercio,24.93483719114744,25.563529410556242,102.52134078353639,342.0,252.0,105973.65167663246,75427.37794094581,181401.02961757826
Mendoza,Enseñanza,6.343711191607801,24.207056580962906,381.591403672141,91.0,268.0,26960.923586670673,71424.98894601654,98385.91253268722
Mendoza,Otras,3.27953611703108,2.283014158731515,69.61393554641798,48.0,19.0,13938.10657206037,6736.228359925261,20674.33493198563
Mendoza,Produccion,41.35621344871358,10.495727645633545,25.378840977908784,575.0,108.0,175764.89170879388,30968.541283095416,206733.4329918893
Mendoza,Servicio domestico,0.7401513136999082,15.517468267462176,2096.526477794469,9.0,155.0,3145.66070372752,45785.61609779826,48931.276801525775
Mendoza,Servicios,13.290046873402044,15.439130721574024,116.17062654965527,191.0,162.0,56483.01560308747,45554.474474676696,102037.49007776417
Misiones,Adm publica,13.472572697604374,11.193081394495328,83.08050470928708,148.0,95.0,31792.016058269517,18451.61074432837,50243.626802597886
Misiones,Comercio,21.421944331318123,23.80495525495677,111.12415795122186,207.0,170.0,50550.61223026259,39242.07755396393,89792.68978422652
Misiones,Enseñanza,5.3344128199980485,19.529156222752793,366.097579653761,68.0,160.0,12587.925249419712,32193.493113042783,44781.41836246249
Misiones,Otras,2.666327326569035,1.9517738104607836,73.20083288394598,23.0,14.0,6291.888200236515,3217.467053291332,9509.355253527847
Misiones,Produccion,41.628792332568295,10.448338666175154,25.09882723165354,403.0,78.0,98233.8907370461,17223.91459495604,115457.80533200214
Misiones,Servicio domestico,0.1589327903301711,20.123114039840463,12661.398568562336,2.0,150.0,375.0429807115344,33172.62281407778,33547.66579478932
Misiones,Servicios,14.02144925362018,11.271147016159974,80.38503589955147,131.0,85.0,33087.23210011467,18580.300638800007,51667.53273891468
Neuquén,Adm publica,16.540271173541715,15.137455719512719,91.51878805788276,145.0,106.0,23211.724007598885,16327.149744342893,39538.87375194178
Neuquén,Comercio,19.170546153432397,17.730447423669723,92.4879619065791,160.0,127.0,26902.909977692147,19123.93175474623,46026.84173243838
Neuquén,Enseñanza,6.673406035187249,27.276575314535695,408.7354369075243,58.0,182.0,9365.097914911792,29420.315931903984,38785.413846815776
Neuquén,Otras,3.6928400616288437,1.6382033583244722,44.361611415196,32.0,14.0,5182.332466945814,1766.9542384570605,6949.286705402875
Neuquén,Produccion,41.31795742471105,7.513859188909476,18.185456535699075,352.0,58.0,57983.39182215192,8104.393922493401,66087.78574464533
Neuquén,Servicio domestico,,17.7366181828313,,,128.0,,19130.587490738733,
Neuquén,Servicios,8.821562435738924,11.098355238220059,125.80940529601799,74.0,76.0,12379.704687170995,11970.605314917762,24350.310002088758
Río Negro,Adm publica,14.045411194078486,13.810740438403293,98.32919981884098,171.0,126.0,21656.74964739797,15570.922492021973,37227.67213941994
Río Negro,Comercio,23.629746811596377,19.04277457805068,80.5881448069743,258.0,182.0,36434.925532539266,21469.78058926973,57904.706121808995
Río Negro,Enseñanza,9.063144815177706,24.502693521107577,270.3553128719056,107.0,214.0,13974.546958309558,27625.56746067157,41600.11441898113
Río Negro,Otras,2.6336162545798585,1.7405390440520974,66.08931886053256,23.0,18.0,4060.7973027375647,1962.371146583257,6023.168449320821
Río Negro,Produccion,37.25873362985798,10.558829844482409,28.3392075248121,408.0,74.0,57449.586576796704,11904.555143018248,69354.14171981496
Río Negro,Servicio domestico,0.40747535293043435,15.40420916776489,3780.4026812867746,2.0,147.0,628.2900218414378,17367.479178393143,17995.76920023458
Río Negro,Servicios,10.755467843390445,12.20599828097192,113.48644669578805,119.0,102.0,16583.955514463567,13761.65557657389,30345.611091037455
Salta,Adm publica,10.847752517624691,8.882203637381494,81.88058884040996,170.0,126.0,33230.796571856685,20845.156574737965,54075.95314659465
Salta,Comercio,21.514136620959658,25.291836095721564,117.55914978750097,381.0,349.0,65905.99262922617,59356.02300977525,125262.01563900142
Salta,Enseñanza,5.416688553480225,23.804283889159976,439.4619268605671,89.0,318.0,16593.37960755952,55864.96832055687,72458.34792811639
Salta,Otras,2.5455104855925366,1.1901192417587607,46.75365701672717,45.0,18.0,7797.867897596179,2793.0255767456542,10590.893474341834
Salta,Produccion,48.73318722979076,14.317911312743462,29.380207055267,755.0,179.0,149288.30912211727,33601.920798264466,182890.22992038174
Salta,Servicio domestico,0.3105580501959887,16.49738117541317,5312.173091311564,4.0,221.0,951.35756213538,38716.7990865837,39668.15664871908
Salta,Servicios,9.899066131072082,9.807168709143246,99.07165564193595,177.0,137.0,30324.608928766665,23015.90637221971,53340.51530098637
San Juan,Adm publica,10.385490967945152,9.247811126527788,89.04548812445347,133.0,73.0,18253.16123373366,10489.22455180007,28742.385785533726
San Juan,Comercio,19.908196655560477,22.393291468501076,112.4827720759253,251.0,202.0,34989.92243586935,25399.336064858453,60389.258500727796
San Juan,Enseñanza,6.356602373472854,25.432965784944393,400.1031414373241,81.0,213.0,11172.133159602668,28847.052073899024,40019.18523350169
San Juan,Otras,1.8923257529219875,0.8848144899108903,46.75804303485413,21.0,8.0,3325.8829246919713,1003.5907680617223,4329.473692753693
San Juan,Produccion,47.89247829180454,10.843480872331359,22.64130247397725,647.0,98.0,84174.07812895745,12299.094805987628,96473.17293494508
San Juan,Servicio domestico,0.01692861769473474,18.124148048881892,107062.18532254407,1.0,144.0,29.753122813351972,20557.10871402387,20586.861836837223
San Juan,Servicios,9.593957144782303,10.096375287058681,105.23681870467412,114.0,79.0,16861.990172034322,11451.698796206503,28313.688968240825
San Luis,Adm publica,11.346491699138127,18.670567767494642,164.54925683251366,137.0,146.0,12402.548241074914,14527.308119608695,26929.85636068361
San Luis,Comercio,21.139818647150626,18.89467693669528,89.37956021321895,209.0,142.0,23107.373409419255,14701.68433536981,37809.05774478907
San Luis,Enseñanza,8.866926571494032,26.248084183588134,296.02234744981615,94.0,222.0,9692.201560538504,20423.26785306862,30115.469413607127
San Luis,Otras,2.4491873536875257,3.0326016258722928,123.82072859009222,28.0,21.0,2677.1415439229995,2359.6249868615964,5036.766530784596
San Luis,Produccion,44.77182758542549,8.411769129868969,18.788085239136496,509.0,77.0,48938.89372972505,6545.080123024936,55483.97385274999
San Luis,Servicio domestico,0.20598994579168675,11.152375436313221,5414.038725749936,2.0,82.0,225.16213007513704,8677.507628393772,8902.66975846891
San Luis,Servicios,9.521646112346433,12.533210444841123,131.62861018946802,104.0,93.0,10407.858074032723,9751.916070656109,20159.774144688832
Santa Cruz,Adm publica,20.107658772871126,28.780911259478415,143.13407435732438,129.0,144.0,18302.228836462284,20430.40317292959,38732.63200939188
Santa Cruz,Comercio,17.00629581183551,15.655940720939403,92.05967539411887,94.0,72.0,15479.331588256335,11113.518196020963,26592.8497842773
Santa Cruz,Enseñanza,5.4719025076336765,24.150208068757763,441.34938506427295,39.0,132.0,4980.59038084738,17143.25453793154,22123.844918778923
Santa Cruz,Otras,4.268693939908892,3.2979106232653774,77.25807166525894,24.0,14.0,3885.415711670982,2341.0531742426915,6226.468885913673
Santa Cruz,Produccion,32.84918441347765,6.635396418886941,20.19957736352356,196.0,30.0,29899.716173708086,4710.199160404561,34609.915334112644
Santa Cruz,Servicio domestico,0.5321627612586599,9.539814970361556,1792.6498554311074,4.0,51.0,484.38083940137017,6771.928250723778,7256.309090125148
Santa Cruz,Servicios,12.132322313428299,9.46210914958072,77.99091472461019,72.0,54.0,11042.983263554579,6716.768035916018,17759.751299470598
Santa Fe,Adm publica,6.098200693634075,6.090657028425593,99.87629686874102,131.0,105.0,48337.34306433565,37032.34056776555,85369.6836321012
Santa Fe,Comercio,24.08781598706229,24.356132086624648,101.11390795955298,455.0,371.0,190931.8967236806,148089.86520433245,339021.76192801306
Santa Fe,Enseñanza,7.047378374198013,23.16751508993331,328.73948097855265,153.0,362.0,55860.99298656999,140862.85025000552,196723.8432365755
Santa Fe,Otras,3.85164400572852,1.6302782840789738,42.326816332305725,64.0,26.0,30530.02795741756,9912.398671355026,40442.426628772584
Santa Fe,Produccion,44.095070904229075,10.159392849302106,23.039747166678755,824.0,154.0,349519.2560600603,61771.01980971836,411290.27586977865
Santa Fe,Servicio domestico,,16.435633184534247,,,260.0,,99931.74179664398,
Santa Fe,Servicios,12.91070288082676,16.606506912222105,128.62589330348433,259.0,233.0,102336.59167755774,100970.68620745021,203307.27788500796
Santiago del Estero,Adm publica,14.355011464026765,8.671102135401306,60.40470366137172,169.0,69.0,24499.151291016777,9564.260661190914,34063.411952207694
Santiago del Estero,Comercio,23.104821732894752,23.93759498525774,103.60432667254625,284.0,213.0,39432.11920134385,26403.263906477525,65835.38310782137
Santiago del Estero,Enseñanza,7.202920724434773,24.483022763652563,339.9040986331804,81.0,195.0,12292.950445030634,27004.87294797695,39297.82339300758
